time,best_obj
0.0010,25213299
0.0010,25203374
0.0020,25201688
0.0030,25200884
0.0040,25194670
0.0050,25192984
0.0060,25192180
0.0090,25191402
0.0100,25185188
0.0100,25183502
0.0120,25182698
0.0180,25182214
0.0200,25181436
0.0210,25175222
0.0220,25173536
0.0230,25172732
0.0430,25168484
0.0440,25166798
0.0460,25165994
0.0680,25165414
0.0880,25161166
0.0890,25159480
0.0900,25158676
0.1340,25157165
0.1350,25156361
0.1570,25155781
0.1770,25151533
0.1780,25149847
0.1790,25149043
0.3541,25145289
0.3551,25143603
0.3561,25142799
0.5311,25141421
0.5321,25140617
0.7062,25136863
0.7072,25135177
0.7082,25134373
1.4166,25134308
1.9487,25134294
2.1657,25130540
2.1667,25128854
2.1687,25128050
2.8829,25127985
5.0136,25125513
5.0146,25123827
5.0156,25123023
5.7220,25122958
10.7497,25121352
10.7497,25119666
10.7517,25118862
11.4608,25118797
16.4662,25117982
16.4672,25116296
16.4682,25115492
17.1921,25115427
22.1747,25113821
22.1747,25112135
22.1767,25111331
22.8899,25111266
45.3869,25110301
45.3879,25109497
46.0981,25109432
