time,best_obj
0.0000,417565
0.0060,410104
0.0070,406292
0.0070,397573
0.0080,396250
0.0090,388739
0.0100,383904
0.0110,376373
0.0120,368695
0.0120,361389
0.0150,354232
0.0170,345482
0.0200,343855
0.0242,343466
0.0252,334739
0.0262,332378
0.0272,324290
0.0272,321622
0.0292,319725
0.0292,314086
0.0312,304942
0.0322,300573
0.0322,294637
0.0342,290106
0.0352,283388
0.0362,281837
0.0372,275272
0.0382,266309
0.0382,266072
0.0392,265426
0.0402,260245
0.0412,257503
0.0422,248711
0.0422,239952
0.0432,231039
0.0442,229944
0.0462,221024
0.0472,217227
0.0492,210520
0.0502,203852
0.0522,199646
0.0532,192324
0.0552,191573
0.0572,181902
0.0592,174383
0.0602,166142
0.0602,156289
0.0622,146442
0.0642,144850
0.0662,142902
0.0672,140168
0.0672,134840
0.0682,134220
0.0692,129353
0.0702,125852
0.0712,122542
0.0732,121335
0.0742,119995
0.0762,112691
0.0772,109285
0.0782,105440
0.0792,98922
0.0812,96136
0.0822,96022
0.0832,91299
0.0862,81901
0.0902,78719
0.0912,71487
0.0932,62829
0.0932,54904
0.0942,45127
0.0962,36677
0.0962,34580
0.0972,27089
0.0982,20845
0.1002,17968
0.1012,16175
0.1042,8057
0.1062,4747
0.1072,4272
0.1082,3593
0.1092,495
0.1192,349
0.1272,3
