time,best_obj
0.0000,417565
0.0060,410104
0.0060,406292
0.0070,397573
0.0080,396250
0.0090,388739
0.0090,383904
0.0100,376373
0.0110,368695
0.0120,361389
0.0140,354232
0.0160,345482
0.0180,344396
0.0220,344007
0.0220,335280
0.0240,332919
0.0240,324831
0.0250,322163
0.0260,320266
0.0260,314627
0.0280,305483
0.0290,301114
0.0290,295178
0.0310,290647
0.0320,283929
0.0320,282378
0.0330,275813
0.0340,266850
0.0340,266613
0.0360,265967
0.0360,260786
0.0370,258044
0.0380,249252
0.0380,240493
0.0400,231580
0.0410,230485
0.0420,221565
0.0430,217768
0.0450,211061
0.0460,204393
0.0480,200187
0.0490,192865
0.0520,192114
0.0530,182443
0.0550,174924
0.0560,166683
0.0570,156830
0.0580,146983
0.0600,145391
0.0620,143443
0.0630,140709
0.0630,135381
0.0640,134761
0.0650,129894
0.0660,126393
0.0670,123083
0.0690,121876
0.0700,120536
0.0720,113232
0.0730,109826
0.0740,105981
0.0750,99463
0.0770,96677
0.0780,96563
0.0790,91840
0.0820,82442
0.0860,79260
0.0870,72028
0.0880,64192
0.0890,56267
0.0900,46490
0.0910,38040
0.0920,35943
0.0930,28452
0.0940,22208
0.0960,19331
0.0970,17538
0.0990,9420
0.1020,6110
0.1030,5635
0.1040,2230
0.1040,1858
0.1060,375
0.1230,123
0.2471,91
0.2511,44
