time,best_obj
0.0000,417565
0.6872,412816
1.5794,406347
2.5426,404112
3.7620,403655
4.7125,397092
5.6632,387275
6.7856,377668
7.6906,375318
8.6494,370575
9.6056,369260
10.5849,361996
11.5147,355867
13.0111,351318
13.9573,341380
14.9212,336101
15.8706,330091
16.8318,329038
17.7530,322135
18.8968,313943
19.8290,305465
20.7602,297870
21.6746,289168
22.8811,282710
23.8105,280410
24.7897,277504
25.8786,275364
26.8465,269053
27.8188,261737
28.7460,254679
29.7042,251831
30.6322,243307
32.2545,239566
33.1934,233757
34.1516,228077
35.1230,227180
36.0535,221221
36.9679,211299
38.1013,208835
39.0512,206456
39.9824,198266
40.9146,189106
42.1640,188129
43.1152,181729
44.0534,176712
45.2159,174225
46.1618,174037
47.1292,167540
48.1266,161201
49.0623,158774
50.0112,153564
51.5868,150577
52.5537,142185
53.5001,134857
54.4785,127252
55.4779,117265
56.4126,116727
57.5360,115200
58.5314,111130
59.4702,106070
60.4094,103390
