time,best_obj
0.0000,2506285
0.0000,2504308
0.0000,2503552
0.0000,2501575
0.0000,2501527
0.0000,2499550
0.0000,2497667
0.0000,2495690
0.0000,2494934
0.0000,2492957
0.0000,2492909
0.0000,2490932
0.0010,2489111
0.0010,2489063
0.0010,2487086
0.0010,2486859
0.0010,2486811
0.0010,2484834
0.0020,2483013
0.0020,2482965
0.0020,2480988
0.0030,2479109
0.0040,2478882
0.0040,2478834
0.0040,2476857
0.0040,2475036
0.0040,2474988
0.0040,2473011
0.0070,2471684
0.0080,2469805
0.0080,2469578
0.0090,2469530
0.0090,2467553
0.0090,2465732
0.0090,2465684
0.0090,2463707
0.0170,2462950
0.0180,2462723
0.0180,2462675
0.0180,2460698
0.0180,2458877
0.0190,2458829
0.0190,2456852
0.0370,2456844
0.0370,2456617
0.0370,2456569
0.0370,2454592
0.0380,2452771
0.0380,2452723
0.0380,2450746
0.0750,2449090
0.0750,2449042
0.0750,2447065
0.1110,2445489
0.1120,2443668
0.1120,2443620
0.1120,2441643
0.1490,2439987
0.1490,2439939
0.1490,2437962
0.2596,2436844
0.2966,2435188
0.2966,2435140
0.2966,2433163
0.5936,2432867
0.8947,2431286
0.8947,2431238
0.8947,2429261
1.1918,2428965
1.4879,2428009
1.7849,2427713
2.0822,2426132
2.0822,2426084
2.0822,2424107
2.3792,2423811
2.9724,2423796
3.2697,2422215
3.2697,2422167
3.2697,2420190
3.5738,2419894
3.8720,2418938
4.1741,2418642
4.4722,2417061
4.4722,2417013
4.4722,2415036
4.7749,2414740
9.2598,2413191
9.2598,2413143
9.2598,2411166
9.5559,2410870
14.0582,2410407
14.0592,2410359
14.0592,2408382
14.3552,2408086
18.8787,2406537
18.8787,2406489
18.8787,2404512
19.1778,2404216
38.1798,2403171
38.1798,2403123
38.1798,2401146
38.4769,2400850
