time,best_obj
0.0000,417565
0.0070,410104
0.0070,406292
0.0080,397573
0.0080,396250
0.0100,388739
0.0100,383904
0.0110,376373
0.0120,368695
0.0130,361389
0.0150,354232
0.0170,345482
0.0200,343855
0.0230,343466
0.0240,334739
0.0250,332378
0.0260,324290
0.0260,321622
0.0270,319725
0.0280,314086
0.0290,304942
0.0310,300573
0.0310,294637
0.0330,290106
0.0330,283388
0.0340,281837
0.0350,275272
0.0360,266309
0.0370,266072
0.0380,265426
0.0380,260245
0.0400,257503
0.0400,248711
0.0410,239952
0.0420,231039
0.0430,229944
0.0450,221024
0.0460,217227
0.0480,210520
0.0490,203852
0.0510,199646
0.0520,192324
0.0550,191573
0.0570,181902
0.0590,174383
0.0600,166142
0.0600,156289
0.0620,146442
0.0640,144850
0.0660,142902
0.0670,140168
0.0670,134840
0.0680,134220
0.0690,129353
0.0710,125852
0.0710,122542
0.0740,121335
0.0750,119995
0.0770,112691
0.0780,109285
0.0790,105440
0.0800,98922
0.0820,96136
0.0830,96022
0.0840,91299
0.0880,81901
0.0920,78719
0.0930,71487
0.0950,62829
0.0950,54904
0.0960,45127
0.0980,36677
0.0990,34580
0.1000,27089
0.1010,20845
0.1030,17968
0.1040,16175
0.1070,8057
0.1100,4747
0.1100,4272
0.1120,3593
0.1130,495
0.1230,349
0.1320,3
